OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2558,2022-089A,2022-08-29T16:42:47.460096,15.41468960,.0011896,97.2354,339.6122,164.9166,195.2438,0,U,53323,999,429,.2693E-3,.11224E-3,0
SL-4 R/B,2022-089B,2022-08-29T12:30:30.363264,15.74471543,.0096466,97.2538,340.8544,325.2983,34.2011,0,U,53324,999,435,.32782E-3,.63293E-3,.33527E-5
2022-090A,2022-090A,2022-08-29T10:46:24.000096,15.20871329,.0008125,97.4694,314.1105,159.1416,27.8983,0,U,53346,999,385,-.13751E-3,-.3106E-4,0
2022-090B,2022-090B,2022-08-29T13:07:26.741856,15.23759302,.0013022,97.4711,314.2552,182.9056,293.6708,0,U,53347,999,386,.18668E-3,.4426E-4,0
2022-090C,2022-090C,2022-08-29T13:04:39.715104,15.23885436,.0012145,97.4700,314.2522,186.0769,286.2101,0,U,53348,999,386,.26048E-3,.6228E-4,0
CZ-4B R/B,2022-090D,2022-08-29T12:17:55.755168,15.60980133,.0150853,97.5138,315.8380,296.1453,62.4357,0,U,53349,999,396,.25435E-3,.371E-3,.26399E-5
SBIRS GEO-6 (USA 336),2022-092A,2022-08-29T12:34:24.900384,1.00260266,.0002135,6.5577,312.3683,334.2429,94.8657,0,U,53355,999,32,0,.116E-5,0
ATLAS 5 CENTAUR R/B,2022-092B,2022-08-29T05:50:26.888064,1.99524756,.5658671,16.4281,310.4225,182.1432,173.5825,0,U,53356,999,49,0,-.35E-6,0
PRC TEST SPACECRAFT2,2022-093A,2022-08-29T20:31:40.620864,15.30897529,.0177919,49.9955,38.5155,250.8892,263.5830,0,U,53357,999,386,.26213E-4,.782E-5,0
CZ-2F R/B,2022-093B,2022-08-29T11:47:51.738720,15.32647841,.0179128,49.9915,40.2215,251.0921,107.0544,0,U,53358,999,380,.15298E-3,.7729E-4,0
CZ-2F DEB,2022-093C,2022-08-29T10:36:46.310688,15.25735291,.0228163,50.3071,42.6232,265.5499,91.9365,0,U,53359,999,378,.14768E-2,.83274E-3,0
CZ-2F DEB,2022-093D,2022-08-29T12:16:27.202080,15.21219471,.024006,50.3308,43.1095,259.4972,97.8859,0,U,53360,999,377,.17102E-2,.87317E-3,0
CZ-2F DEB,2022-093E,2022-08-29T11:59:15.775296,14.97425804,.0333052,49.7537,46.4521,248.0693,108.4538,0,U,53361,999,372,.18511E-2,.71426E-3,0
CZ-2F DEB,2022-093F,2022-08-29T13:16:11.149248,14.94200395,.0346326,49.8071,46.8479,244.8257,111.6396,0,U,53362,999,372,.1844E-2,.69103E-3,0
CZ-2F DEB,2022-093G,2022-08-29T12:02:35.938176,15.53101556,.0158919,50.0269,38.4869,265.2751,204.8123,0,U,53363,999,383,.74428E-2,.897662E-2,0
